CMDLINE /Users/zhaohengrui/anaconda3/bin/python IR_Optimized.py
MEM 0.023438 1553410218.6135
MEM 11.683594 1553410218.7167
MEM 21.410156 1553410218.8174
MEM 30.289062 1553410218.9189
MEM 36.851562 1553410219.0225
MEM 38.179688 1553410219.1248
MEM 41.558594 1553410219.2285
MEM 43.191406 1553410219.3288
MEM 44.671875 1553410219.4293
MEM 45.699219 1553410219.5307
MEM 46.980469 1553410219.6322
MEM 48.156250 1553410219.7359
MEM 49.175781 1553410219.8381
MEM 50.570312 1553410219.9400
MEM 50.960938 1553410220.0411
MEM 51.308594 1553410220.1441
MEM 52.320312 1553410220.2475
MEM 53.355469 1553410220.3479
MEM 54.503906 1553410220.4498
MEM 55.113281 1553410220.5553
MEM 56.195312 1553410220.6570
MEM 57.183594 1553410220.7609
MEM 59.843750 1553410220.8614
MEM 60.519531 1553410220.9635
MEM 62.203125 1553410221.0645
MEM 67.402344 1553410221.1690
MEM 68.414062 1553410221.2694
MEM 69.148438 1553410221.3702
MEM 70.027344 1553410221.4722
MEM 71.003906 1553410221.5725
MEM 74.464844 1553410221.6745
MEM 75.566406 1553410221.7787
MEM 76.988281 1553410221.8810
MEM 79.285156 1553410221.9837
MEM 79.363281 1553410222.0840
MEM 79.363281 1553410222.1843
MEM 79.363281 1553410222.2851
MEM 79.363281 1553410222.3857
MEM 79.375000 1553410222.4860
MEM 79.625000 1553410222.5895
MEM 80.046875 1553410222.6909
MEM 81.347656 1553410222.7929
MEM 82.472656 1553410222.8973
MEM 82.914062 1553410222.9978
MEM 83.570312 1553410223.1030
MEM 85.425781 1553410223.2036
MEM 87.117188 1553410223.3054
MEM 88.359375 1553410223.4079
MEM 90.480469 1553410223.5121
MEM 91.855469 1553410223.6145
MEM 93.968750 1553410223.7191
MEM 95.195312 1553410223.8237
MEM 96.519531 1553410223.9242
MEM 97.019531 1553410224.0246
MEM 99.250000 1553410224.1286
MEM 102.742188 1553410224.2330
MEM 103.257812 1553410224.3383
MEM 103.964844 1553410224.4389
MEM 103.964844 1553410224.5394
MEM 106.332031 1553410224.6424
MEM 106.820312 1553410224.7476
MEM 111.691406 1553410224.8527
MEM 113.417969 1553410224.9543
MEM 116.128906 1553410225.0554
MEM 116.855469 1553410225.1598
MEM 117.890625 1553410225.2600
MEM 123.476562 1553410225.3608
MEM 135.917969 1553410225.4658
MEM 136.835938 1553410225.5690
MEM 136.835938 1553410225.6694
MEM 136.835938 1553410225.7728
MEM 136.835938 1553410225.8778
MEM 136.847656 1553410225.9833
MEM 136.847656 1553410226.0835
MEM 136.847656 1553410226.1840
MEM 136.847656 1553410226.2878
MEM 136.847656 1553410226.3905
MEM 136.851562 1553410226.4927
MEM 136.851562 1553410226.5937
MEM 136.851562 1553410226.6990
MEM 136.851562 1553410226.8020
MEM 136.851562 1553410226.9063
MEM 136.855469 1553410227.0074
MEM 136.855469 1553410227.1087
MEM 136.855469 1553410227.2127
MEM 136.855469 1553410227.3181
MEM 136.855469 1553410227.4188
MEM 136.859375 1553410227.5198
MEM 136.859375 1553410227.6253
MEM 136.859375 1553410227.7294
MEM 136.859375 1553410227.8304
MEM 136.859375 1553410227.9317
MEM 136.859375 1553410228.0345
MEM 136.859375 1553410228.1349
MEM 136.859375 1553410228.2354
MEM 136.859375 1553410228.3377
MEM 136.859375 1553410228.4381
MEM 136.863281 1553410228.5434
MEM 136.867188 1553410228.6462
MEM 136.867188 1553410228.7466
MEM 136.867188 1553410228.8502
MEM 136.867188 1553410228.9507
MEM 136.875000 1553410229.0531
MEM 136.875000 1553410229.1541
MEM 136.875000 1553410229.2569
MEM 136.875000 1553410229.3603
MEM 136.875000 1553410229.4612
MEM 136.875000 1553410229.5632
MEM 136.875000 1553410229.6638
MEM 137.109375 1553410229.7692
MEM 137.109375 1553410229.8736
MEM 137.113281 1553410229.9743
MEM 137.117188 1553410230.0753
MEM 137.117188 1553410230.1756
MEM 137.117188 1553410230.2760
MEM 137.117188 1553410230.3812
MEM 137.117188 1553410230.4828
MEM 137.074219 1553410230.5835
MEM 137.074219 1553410230.6839
MEM 137.074219 1553410230.7875
MEM 137.074219 1553410230.8883
MEM 137.074219 1553410230.9918
MEM 137.074219 1553410231.0971
MEM 137.078125 1553410231.1975
MEM 137.078125 1553410231.2991
MEM 137.082031 1553410231.4008
MEM 137.082031 1553410231.5017
MEM 137.082031 1553410231.6021
MEM 137.082031 1553410231.7022
MEM 137.082031 1553410231.8058
MEM 137.082031 1553410231.9065
MEM 137.082031 1553410232.0072
MEM 137.082031 1553410232.1077
MEM 137.722656 1553410232.2080
MEM 137.722656 1553410232.3099
MEM 137.722656 1553410232.4107
MEM 137.722656 1553410232.5110
